指标,角色,问题,问题的不同的问法,问题类型,展示方式,小程序跳转页面名称,小程序跳转页面路径,PC端跳转页面名称,PC端跳转页面路径,主题,精度,表,字段,维度(分组).1,维度限定条件,日期限定条件,维度(分组)（包括表名）,维度限定条件（包括表名）,答案-SQL部分,推荐的关联问题,结果+分析解读部分,意图识别场景,意图识别场景流程,意图识别场景参数
销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额是多少？,"昨天销售额咋样？
昨天的业绩如何？
昨日的销售情况
昨天的销售额
营业收入，昨天
昨天，销售业绩
昨天，营业收入是多少？
昨天的销售总额
昨天，收入情况
昨日，销售额有多少？
昨天，销售收入如何？
销售额，昨天
昨天，营收情况
昨天，销售了多少？
昨天，销售业绩怎样？
昨天，销售总额是多少？
昨天的销售总额有多少？
昨日的业绩如何？
昨天的收入情况怎样？
昨日的销售收入是多少？
昨天的营业收入是多少？
昨天的营业额是多少？
昨天的销售收入情况如何？
昨日的销售情况怎样？
昨天的营业额是多少？
昨天的营收情况如何？
昨天的销售总额情况如何？
昨日的营业收入情况怎样？
昨天的销售情况如何？
昨日的销售收入情况怎样？
昨天的业绩情况如何？
昨日的销售额情况如何？
昨天的营收情况怎样？
昨日的营业额情况如何？
昨天的销售总额情况怎样？
昨日的销售收入情况如何？
昨天的销售额情况如何？
昨日的营业收入情况怎样？
昨天的营业额情况如何？
昨天的营收情况如何？
昨天的销售总额是多少？",指标类,单指标卡片,总部经营罗盘,/package-m/pages/store/index,总部经营罗盘,https://ireport-hq.9zdata.cn/#/general/store,销售,"{ ""accuracy"":{ ""销售额"":2 } , ""joint"":{ } } ",vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,,,销售.销售日期='昨天',,, SELECT sum(sales_amt)  as '销售额' FROM vw_dwd_fact_store_order_detail  WHERE business_date = curdate() - interval 1 day,,,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额为什么比去年同期低？,"昨日销售额低于去年同期，为什么？
为什么昨天的业绩低于去年同日？
昨日销售比去年今日下降，原因何在？
去年同日相比，昨天销售额减少，是何原因？
昨天的销售额，为什么没有达到去年同期的水平？
去年同期相比，昨日销售有所下降，为什么？
昨日的销售收入未达去年今日，原因何在？
为什么昨日的营收未能超越去年同期？
去年今日相比，昨日销售额下降，原因有哪些？
昨日销售额同比降低，是什么导致的？
为什么昨天的营业额没有去年同期高？
昨天的销售额，同比去年下降，为什么？
去年同期相比，昨日销售减少，原因包括哪些？
昨天的营收，为什么没有去年同日好？
昨日销售金额同比降低，是何原因？
为什么昨日的业绩没有去年今日高？
去年同日的销售金额，昨日未能达到，为什么？
昨天的营业收入，同比去年有所下降，为什么？
为什么昨日的销售额没有去年同日的高？
去年同期的销售业绩，昨日未能超越，原因何在？
昨天的销售额，同比去年有所减少，为什么？
为什么昨日的营收比去年同日要低？
去年今日的销售总额，昨日未能达到，为什么？
昨天的营业额，同比去年有所下降，为什么？
为什么昨日的销售收入比去年同期要少？
去年同期相比，昨日销售总额有所减少，为什么？
昨天的营业收入，同比去年有所不足，为什么？
为什么昨日的销售额同比去年有所下降？
为什么去年同日的销售业绩，昨日未能达到？
昨日的销售总额，同比去年有所不足，为什么？
为什么昨日的营收未能达到去年同期？
去年同期的销售收入，昨日未能超越，为什么？
昨日的营业额，同比去年有所减少，为什么？
为什么昨日的销售额没有去年同期多？
去年同期相比，昨日销售总额下降，原因何在？
为什么昨日的营业收入比去年同日要少？
去年今日的销售业绩，昨日未能达到，为什么？
昨日的销售额，同比去年有所降低，为什么？
为什么昨日的营收比去年同期低？
去年同期的销售总额，昨日未能达到，为什么？
昨日的营业额，同比去年有所下滑，为什么？
为什么昨日的销售额比去年同日低？
去年同期的销售收入，昨日未能超越，为什么？
昨日的营业收入，同比去年有所减少，为什么？
为什么昨日的销售额同比去年有所不足？
为什么去年同日的销售总额，昨日未能达到？
昨日的营收，同比去年有所下降，为什么？
为什么昨日的营业额同比去年有所减少？
去年同期相比，昨日销售额有所下滑，为什么？
为什么昨日的销售收入同比去年有所不足？",归因类,归因组件,,,,,销售,,,,,,销售.销售日期='昨天' OR 销售.销售日期='昨天的去年同天',,,bigmodel/attributionAnalysis1 bigmodel/attributionAnalysis2,,,归因分析,归因分析组件,
销售额,"老板【总部】,采购【总部】,营销【总部】",4月的销售额为什么环比下降了？,"为什么4月份的销售收入环比下降了？
4月份销售收入环比下降的原因是什么？
四月份的营业额为什么比上个月低？
四月份营业额比上个月下滑的原因是什么？
四月的销售总额环比下降的原因是什么？
为什么四月的销售总额比三月份低？
四月份的业绩为什么环比下降了？
四月份业绩环比下降的原因是什么？
为什么四月的销售比上个月下滑？
四月销售比上个月下滑的原因是什么？
四月份的销售环比下降的原因是什么？
为什么四月份的销售比三月份低？
四月的营业收入环比下降的原因是什么？
为什么四月的营业收入比上个月低？
四月份的销售金额为什么环比下降了？
四月份销售金额环比下降的原因是什么？
为什么四月的营业收入比上个月下滑？
四月营业收入比上个月下滑的原因是什么？
四月份的销售环比下降的原因是什么？
为什么四月份的销售比三月份低？
四月的销售环比下降的原因是什么？
为什么四月的销售比上个月下滑？
四月份的营业收入为什么比上个月低？
四月份营业收入比上个月下滑的原因是什么？
为什么四月的销售总额环比下降了？
四月销售总额环比下降的原因是什么？
四月份的业绩为什么比三月份下滑？
四月份业绩比三月份下滑的原因是什么？
四月的销售收入为什么环比下降了？
四月销售收入环比下降的原因是什么？
四月份的营业额为什么环比下降了？
四月份营业额环比下降的原因是什么？
为什么四月的销售收入比上个月低？
四月销售收入比上个月低的原因是什么？
四月份的销售总额为什么比上个月下滑？
四月份销售总额比上个月下滑的原因是什么？
为什么四月的销售环比下降了？
四月销售环比下降的原因是什么？
四月份的销售为什么比三月份低？
四月份销售比三月份低的原因是什么？
四月的营业收入为什么环比下降了？
四月营业收入环比下降的原因是什么？
为什么四月份的销售金额比上个月低？
四月份销售金额比上个月低的原因是什么？
四月的销售为什么比上个月下滑？
四月销售比上个月下滑的原因是什么？
四月份的业绩为什么环比下降了？
四月份业绩环比下降的原因是什么？
为什么四月的销售比三月份下降？
四月销售比三月份下降的原因是什么？",归因类,归因组件,,,,,销售,,,,,,销售.销售日期='今年4月' OR 销售.销售日期='今年3月',,,bigmodel/attributionAnalysis1 bigmodel/attributionAnalysis2,,,归因分析,归因分析组件,
销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额为什么比前一天低？,"为什么昨天的销售额比前一天下降了？
昨日的销售额为什么比前一天低？
昨天的营收为什么比前一天下滑？
昨日的销售金额为什么比前一天少？
昨天的业绩为什么比前一天降低了？
昨日的营业收入为什么比前一天减少？
为什么昨天卖了的金额比前一天少？
昨日的销售收入为什么比前一天少了？
昨天的营业额为什么比前一天下滑？
昨日的收入为什么比前一天低？
昨日的销售为什么比前一天减少了？
昨天的收入同比下降的原因是什么？
为什么昨天的销售收入同比下滑？
昨日的营收同比下降的原因是什么？
为什么昨天卖了的金额比前一天的下滑了？
昨日的销售总额为什么比前一天的少了？
昨天的营业额同比下降的原因是什么？
昨日的营业收入同比下滑的原因是什么？
昨天的业绩为什么比前一天的下滑了？
昨日的销售金额为什么比前一天的少了？
为何昨天的销售比前一天下降了？
昨日的销售金额比前一天减少的原因是什么？
昨天的业绩为何比前一天少了？
昨日的营业额为何比前一天下滑？
昨天的收入比前一天减少的原因是什么？
为何昨日的销售总额比前一天少了？
昨天的营收比前一天减少的原因是什么？
昨日的销售收入为何比前一天下降？
昨天的营业收入为何比前一天少了？
昨日的业绩比前一天下降的原因是什么？
为何昨天的销售额比前一天有所减少？
昨日的销售为何没有前一天的高？
昨天的业绩为何没有前一天的好？
昨日的营业额为何没有前一天的多？
为何昨日的销售收入没有前一天的高？
昨天的营业收入比前一天减少的原因是什么？
昨日的收入为何比前一天少了？
昨天的销售为何比前一天下滑？
昨日的销售总额为何比前一天减少？
昨天的销售金额为何比前一天下降了？
昨天的销售额为什么会比前一天少？
昨日的营业额为什么会低于前一天？
为什么昨天的业绩没有前一天好？
昨日的销售收入为什么会低于前一天？
为何昨天的销售总额比前一天要低？
昨日的收入为什么会比前一天减少？
为什么昨日的销售额比前一天要少？
昨天的营业收入为什么会比前一天下降？
昨日的销售为什么会比前一天少？
为什么昨天的销售金额会低于前一天？",归因类,归因组件,,,,,销售,,,,,,销售.销售日期='昨天' OR 销售.销售日期='前天',,,bigmodel/attributionAnalysis1 bigmodel/attributionAnalysis2,,,归因分析,归因分析组件,
销售额,"老板【总部】,采购【总部】,营销【总部】",5月9号的销售额是多少？,"5月9号销售
五月九号，收入
五月9号的营业收入
五月9号，卖了多少？
5月9号的营收
五月9号，销售收入
销售，5月9号
5月9号的销售额是多少？
五月九号，销售金额
营收，五月9号
5月9号，业绩
5月9号，营业收入是多少？
五月九号，销售总额
五月9号，销售情况
5月9号，收入情况
营业收入，5月9号
五月9号，营收
5月9号的销售金额是多少？
五月九号的营业收入如何？
五月9号的营业额是多少？
5月9号的营收情况如何？
5月9号的业绩怎样？
五月九号的销售情况如何？
五月9号的销售总额多少？
5月9号的营业收入有多少？
五月9号的营收情况怎样？
5月9号的销售收入情况如何？
五月9号的销售额怎样？
5月9号的销售业绩如何？
五月9号的营业额情况如何？
5月9号的营收情况如何？
五月9号的销售总额情况如何？
5月9号的营业收入情况如何？
五月9号的销售收入情况怎样？
5月9号的业绩情况如何？
五月9号的销售情况怎样？
5月9号的营业收入是多少？
五月9号的营收情况如何？
5月9号的销售总额情况怎样？
五月9号的业绩情况如何？
5月9号的销售收入情况怎样？
五月9号的销售情况如何？",指标类,单指标卡片,总部经营罗盘,/package-m/pages/store/index,总部经营罗盘,https://ireport-hq.9zdata.cn/#/general/store,销售,"{ ""accuracy"":{ ""销售额"":2 } , ""joint"":{ } } ",vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,,,销售.销售日期='今年5月9日',,,select sum(sales_amt)  as '销售额' from vw_dwd_fact_store_order_detail where  business_date='2024-05-09'  ,,,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天的销售额是多少？,"昨天华南区的销售额是多少？
昨日华南区的销售金额是多少？
华南区昨天的业绩如何？
华南区昨天销售了多少？
昨日华南区的收入是多少？
华南区昨天的销售总额是多少？
昨日华南区卖了多少？
华南区昨天卖了多少钱？
华南区昨天的营业收入是多少？
昨日华南区的营收情况如何？
昨天华南区的营业额是多少？
华南区昨天的销售收入有多少？
华南区昨天的销售情况如何？
昨天华南区的销售业绩是多少？
华南区昨日的营业额多少？
昨天华南区销售了多少钱？
华南区昨日的销售总额是多少？
昨天华南区的收入情况如何？
华南区昨日的销售额有多少？
昨天华南区的营收情况如何？
昨天华南区的营业收入如何？
昨日华南区的销售收入是多少？
华南区昨天的营收有多少？
华南区昨日的收入情况如何？
昨天华南区的销售金额是多少？
华南区昨天的营业额情况如何？
华南区昨天的销售收入情况是多少？
昨天华南区的销售总额情况如何？
华南区昨日的销售情况如何？
昨天华南区的销售业绩情况是多少？
华南区昨日的营业收入情况如何？
昨天华南区的营收情况是多少？
华南区昨天的收入情况是多少？
昨日华南区的销售额情况是多少？
华南区昨天的销售金额情况如何？
昨天华南区的业绩情况是多少？
华南区昨日的营收情况是多少？
昨天华南区的销售收入情况如何？
华南区昨天的销售总额情况如何？
昨天华南区的销售情况是怎样的？
华南区昨天的业绩表现如何？
昨日华南区的营收表现怎么样？
华南区昨天销售了多少金额？
昨天华南区的营业额表现如何？
华南区昨日的收入表现怎么样？
昨天华南区的销售总额表现怎么样？
华南区昨天的销售额表现如何？
昨日华南区的销售金额表现怎么样？
华南区昨天的营业收入表现如何？",指标类,单指标卡片,总部经营罗盘,/package-m/pages/store/index,总部经营罗盘,https://ireport-hq.9zdata.cn/#/general/store,销售,"{ ""accuracy"":{ ""销售额"":2 } , ""joint"":{ } } ",vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,,门店.区域名称='华南区',销售.销售日期='昨天',,门店维度表.区域名称='华南区',"SELECT sum(sales_amt)  as '销售额' FROM vw_dwd_fact_store_order_detail AS od JOIN vw_dwd_dim_store AS ds ON od.store_id = ds.store_id WHERE business_date=date_sub(current_date(),1) and ds.area_name='华南区'",,,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区4月的销售额为什么比上个月下降了？,,归因类,归因组件,,,,,销售,,,,,门店.区域名称='华南区',销售.销售日期='今年4月' OR 销售.销售日期='今年3月',,门店维度表.区域名称='华南区',bigmodel/attributionAnalysis1 bigmodel/attributionAnalysis2,,,归因分析,归因分析组件,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店昨天的销售额是多少？,"昨天深圳XXX路店的销售总额是多少？
昨日深圳XXX路店的销售金额有多少？
深圳XXX路店昨天的收入是多少？
昨天深圳XXX路店的营业额有多少？
昨日深圳XXX路店的销售情况如何？
深圳XXX路店昨天卖出的总额是多少？
昨天深圳XXX路店的销售收入是多少？
深圳XXX路店昨日的营收有多少？
昨天深圳XXX路店的销售业绩是多少？
昨日深圳XXX路店的销售收入如何？
深圳XXX路店昨天的销售金额是多少？
昨天深圳XXX路店的营业收入有多少？
深圳XXX路店昨日的销售额如何？
昨天深圳XXX路店的营收情况是多少？
深圳XXX路店昨天的销售总收入是多少？
昨日深圳XXX路店的营业额是多少？
深圳XXX路店昨天的销售总金额是多少？
昨天深圳XXX路店的总收入如何？
深圳XXX路店昨日的销售收入是多少？
昨天深圳XXX路店的销售额情况如何？
深圳XXX路店昨天的销售总额情况如何？
昨日深圳XXX路店的销售总收益是多少？
深圳XXX路店昨天的销售数据如何？
昨天深圳XXX路店的销售收益有多少？
深圳XXX路店昨天的销售总收益是多少？
昨日深圳XXX路店的销售收益情况如何？
深圳XXX路店昨天的销售情况是怎样的？
昨天深圳XXX路店的营收数据是多少？
深圳XXX路店昨日的收入数据是多少？
昨天深圳XXX路店的销售收益数据是多少？
深圳XXX路店昨天的销售总额情况如何？
昨日深圳XXX路店的销售总收益是多少？
深圳XXX路店昨天的销售数据如何？
昨天深圳XXX路店的销售收入数据是多少？
深圳XXX路店昨日的销售总额数据是多少？
昨天深圳XXX路店的营业收益是多少？
深圳XXX路店昨日的收入情况如何？
昨天深圳XXX路店的收入数据是多少？
深圳XXX路店昨天的营业数据是多少？
昨日深圳XXX路店的销售收入数据如何？
深圳XXX路店昨天的销售总收益情况是多少？
昨日深圳XXX路店的营业情况怎么样？
深圳XXX路店昨天的销售业绩表现如何？
昨日深圳XXX路店的销售金额是多少？
昨天深圳XXX路店的营业收入情况怎么样？
深圳XXX路店昨天的营收表现怎么样？
昨日深圳XXX路店的销售总额是多少？
昨天深圳XXX路店的销售收入表现如何？
深圳XXX路店昨天的销售总收入是多少？
昨日深圳XXX路店的营业收入是多少？
深圳XXX路店昨天的销售收入情况是多少？

",指标类,单指标卡片,总部经营罗盘,/package-m/pages/store/index,总部经营罗盘,https://ireport-hq.9zdata.cn/#/general/store,销售,"{ ""accuracy"":{ ""销售额"":2 } , ""joint"":{ } } ",vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,,门店.门店名称='深圳XXX路店',销售.销售日期='昨天',,门店维度表.门店名称='深圳XXX路店',"SELECT sum(sales_amt)  as '销售额' FROM vw_dwd_fact_store_order_detail AS od JOIN vw_dwd_dim_store AS ds ON od.store_id = ds.store_id WHERE business_date=date_sub(current_date(),1) and ds.store_name='深圳XXX路店'",,,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店3月的销售为什么比去年低？,,归因类,归因组件,,,,,销售,,,,,门店.门店名称='深圳XXX路店',销售.销售日期='今年3月' OR 销售.销售日期='去年3月',,门店维度表.门店名称='深圳XXX路店',bigmodel/attributionAnalysis1 bigmodel/attributionAnalysis2,,,归因分析,归因分析组件,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",深圳XXX路店婴儿用品品类昨天的销售额是多少？,"昨天深圳XXX路店的婴儿用品品类销售总额是多少？
昨日深圳XXX路店的婴儿用品品类销售金额有多少？
深圳XXX路店昨天的婴儿用品品类收入是多少？
昨天深圳XXX路店的婴儿用品品类营业额有多少？
昨日深圳XXX路店的婴儿用品品类销售情况如何？
深圳XXX路店昨天的婴儿用品品类销售总额是多少？
昨天深圳XXX路店的婴儿用品品类销售收入是多少？
深圳XXX路店昨日的婴儿用品品类营收有多少？
昨天深圳XXX路店的婴儿用品品类销售业绩是多少？
昨日深圳XXX路店的婴儿用品品类销售收入如何？
深圳XXX路店昨天的婴儿用品品类销售金额是多少？
昨天深圳XXX路店的婴儿用品品类营业收入有多少？
深圳XXX路店昨日的婴儿用品品类销售额如何？
昨天深圳XXX路店的婴儿用品品类营收情况是多少？
深圳XXX路店昨天的婴儿用品品类销售总收入是多少？
昨日深圳XXX路店的婴儿用品品类营业额是多少？
深圳XXX路店昨天的婴儿用品品类销售总金额是多少？
昨天深圳XXX路店的婴儿用品品类总收入如何？
深圳XXX路店昨日的婴儿用品品类销售收入是多少？
昨天深圳XXX路店的婴儿用品品类销售额情况如何？
深圳XXX路店昨天婴儿用品品类的销售状况怎么样？
昨日深圳XXX路店在婴儿用品品类上的销售情况如何？
深圳XXX路店昨天在婴儿用品品类的销售额是多少？
昨天深圳XXX路店婴儿用品品类的营业总额是多少？
昨日深圳XXX路店婴儿用品品类的销售情况是怎样的？
深圳XXX路店昨天婴儿用品品类的销售收入有多少？
昨天深圳XXX路店婴儿用品品类的销售总收入是多少？
深圳XXX路店昨日在婴儿用品品类的销售额有多少？
昨天深圳XXX路店婴儿用品品类的营收是多少？
昨日深圳XXX路店在婴儿用品品类的销售收入是多少？
深圳XXX路店昨天婴儿用品品类的销售业绩如何？
昨天深圳XXX路店婴儿用品品类的销售总金额是多少？
深圳XXX路店昨日在婴儿用品品类的营收情况如何？
昨天深圳XXX路店婴儿用品品类的销售数据是多少？
深圳XXX路店昨天在婴儿用品品类上的销售业绩是多少？
昨日深圳XXX路店婴儿用品品类的营业收入是多少？
深圳XXX路店昨天婴儿用品品类的销售收入数据是多少？
昨天深圳XXX路店在婴儿用品品类的销售收益是多少？
深圳XXX路店昨日婴儿用品品类的销售总额是多少？
昨天深圳XXX路店在婴儿用品品类上的营业额是多少？
昨日深圳XXX路店婴儿用品品类的销售情况怎么样？
昨日深圳XXX路店婴儿用品品类的销售金额是多少？
深圳XXX路店昨天在婴儿用品品类的收入是多少？
昨天深圳XXX路店婴儿用品品类的营业情况怎么样？
昨日深圳XXX路店婴儿用品品类的销售业绩如何？
深圳XXX路店昨天婴儿用品品类的销售总额是多少？
昨天深圳XXX路店婴儿用品品类的销售收入情况如何？
深圳XXX路店昨日婴儿用品品类的销售总收入是多少？
昨天深圳XXX路店婴儿用品品类的营业收入是多少？
深圳XXX路店昨天婴儿用品品类的销售收入总和是多少？

",指标类,单指标卡片,,,,,销售,"{ ""accuracy"":{ ""销售额"":2 } , ""joint"":{ } } ",vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,,"门店.门店名称='深圳XXX路店' AND 
商品.大类名称='婴儿用品'",销售.销售日期='昨天',,"门店维度表.门店名称='深圳XXX路店' AND 
商品维度表.大类名称='婴儿用品'","SELECT sum(od.sales_amt)  as '销售额' FROM vw_dwd_fact_store_order_detail AS od JOIN vw_dwd_dim_store AS ds ON od.store_id = ds.store_id JOIN vw_dwd_dim_item AS di ON od.item_id = di.item_id WHERE od.business_date=date_sub(current_date(),1) and ds.store_name='深圳XXX路店' and di.category_name_level1='婴儿用品'",,,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
