指标,角色,问题,问题的不同的问法,问题类型,主题,指标名称,开始时间/基准时间,结束时间/对比时间,统计时效,维度(分组),限定条件,排序字段,排序方向,TopN,指标单位,精度,表,字段,答案-SQL部分,推荐的关联问题,结果+分析解读部分,
销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额是多少？,"昨天销售额咋样？
昨天的业绩如何？
昨日的销售情况
昨天的销售额
营业收入，昨天
昨天，销售业绩
昨天，营业收入是多少？
昨天的销售总额
昨天，收入情况
昨日，销售额有多少？
昨天，销售收入如何？
销售额，昨天
昨天，营收情况
昨天，销售了多少？
昨天，销售业绩怎样？
昨天，销售总额是多少？
昨天的销售总额有多少？
昨日的业绩如何？
昨天的收入情况怎样？
昨日的销售收入是多少？
昨天的营业收入是多少？
昨天的营业额是多少？
昨天的销售收入情况如何？
昨日的销售情况怎样？
昨天的营业额是多少？
昨天的营收情况如何？
昨天的销售总额情况如何？
昨日的营业收入情况怎样？
昨天的销售情况如何？
昨日的销售收入情况怎样？
昨天的业绩情况如何？
昨日的销售额情况如何？
昨天的营收情况怎样？
昨日的营业额情况如何？
昨天的销售总额情况怎样？
昨日的销售收入情况如何？
昨天的销售额情况如何？
昨日的营业收入情况怎样？
昨天的营业额情况如何？
昨天的营收情况如何？
昨天的销售总额是多少？",指标类,销售,销售额,2024-05-06,2024-05-06,日,组织,/,/,/,/,元,2位小数,vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,"select sum(sales_amt) as '销售金额' 
from vw_dwd_fact_store_order_detail
where business_date=to_date('2024-05-06')",,,
销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额为什么比去年同期低？,,归因类,销售,,2024-05-06,2023-05-06,日,,,,,,元,2位小数,,,"bigmodel/attributionAnalysis1
bigmodel/attributionAnalysis2",,,
销售额,"老板【总部】,采购【总部】,营销【总部】",4月的销售额为什么环比下降了？,,归因类,销售,,2024-04,2024-03,月,,,,,,,,,,"bigmodel/attributionAnalysis1
bigmodel/attributionAnalysis2",,,
销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额为什么比前一天低？,,归因类,销售,销售额,2024-05-06,2024-05-05,日,,,,,,,,,,"bigmodel/attributionAnalysis1
bigmodel/attributionAnalysis2",,,
销售额,"老板【总部】,采购【总部】,营销【总部】",5月9号的销售额是多少？,"5月9号销售
五月九号，收入
五月9号的营业收入
五月9号，卖了多少？
5月9号的营收
五月9号，销售收入
销售，5月9号
5月9号的销售额是多少？
五月九号，销售金额
营收，五月9号
5月9号，业绩
5月9号，营业收入是多少？
五月九号，销售总额
五月9号，销售情况
5月9号，收入情况
营业收入，5月9号
五月9号，营收
5月9号的销售金额是多少？
五月九号的营业收入如何？
五月9号的营业额是多少？
5月9号的营收情况如何？
5月9号的业绩怎样？
五月九号的销售情况如何？
五月9号的销售总额多少？
5月9号的营业收入有多少？
五月9号的营收情况怎样？
5月9号的销售收入情况如何？
五月9号的销售额怎样？
5月9号的销售业绩如何？
五月9号的营业额情况如何？
5月9号的营收情况如何？
五月9号的销售总额情况如何？
5月9号的营业收入情况如何？
五月9号的销售收入情况怎样？
5月9号的业绩情况如何？
五月9号的销售情况怎样？
5月9号的营业收入是多少？
五月9号的营收情况如何？
5月9号的销售总额情况怎样？
五月9号的业绩情况如何？
5月9号的销售收入情况怎样？
五月9号的销售情况如何？",指标类,销售,销售额,2024-05-09,2024-05-09,日,,,,,,,,vw_dwd_fact_store_order_detail,vw_dwd_fact_store_order_detail.sales_amt,"select sum(sales_amt) as '销售金额' 
from vw_dwd_fact_store_order_detail
where business_date=to_date('2024-05-09')",,,修改数据模型，等数据调通；
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天的销售额是多少？,,指标类,销售,销售额,2024-05-06,2024-05-06,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区4月的销售额为什么比上个月下降了？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店昨天的销售额是多少？,,指标类,销售,销售额,2024-05-06,2024-05-06,,,门店:西湖店,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店3月的销售为什么比去年低？,,归因类,销售,销售额,2024-03,2023-03,,,门店:西湖店,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类昨天的销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类3月的销售额为什么比去年增长了？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,采购【总部】,营销【总部】",上个月每个区域的销售额分别是多少？,"上个月各个区域卖了多少？
各区域上月的销售额咋样？
上月，各个区域销售额如何？
上个月各区域的销售额？
上个月各区的营业额是多少？
上月各区域的销售收入？
上个月每个区域的销售情况怎样？
上月各区销售怎样？
上月，各区域卖了多少？
前一个月，每个区收入？
上月，各区营业额？
上月，各区销售金额？
前一个月，各区销售？
上月，各区销售总额？
上月，各区销售收入？
前一个月，各区营业额？
上月，各区营业收入？
上月，各区卖了多少？
前一个月，各区销售总额？
上月，各区销售金额？
上月，各区营收？
前一个月，各区销售？
上月，各区销售总额？
上月，各区收入？
前一个月，各区销售收入？
上月，各区卖了多少？
上月，各区营业收入？
前一个月，各区销售？",分布类,销售,,,,,,,,,,,,,,,,,
